crop,area_feddans,season,soil_type,region,seed_cost_egp,fertilizer_cost_egp,irrigation_cost_egp,labor_cost_egp,pesticide_cost_egp,profit_per_feddan_egp,price_egp_per_ton
Tomato,72,Nile,Loamy,North_Coast,0,12461,20041,27009,22988,27757,3980
Fava Beans,100,Winter,Loamy,North_Coast,50605,26674,22331,30643,16309,24424,44399
Maize,136,Summer,Sandy,Delta,0,7047,6395,15799,13917,25861,13167
Cotton,3,Summer,Sandy,Upper_Egypt,3892,2665,2006,2476,1770,12955,30097
Wheat,93,Winter,Loamy,Delta,13959,0,0,21895,7500,33593,18575
Potato,15,Nile,Clay,Sinai,24322,21940,15243,17192,7941,28856,6235
Rice,175,Summer,Clay,Delta,29680,5797,23159,2914,0,74915,23365
Wheat,153,Winter,Sandy,North_Coast,29478,1452,2871,1049,5830,35583,18932
Sugarcane,15,Summer,Clay,Upper_Egypt,30094,25976,19502,30278,8346,108107,2500
Wheat,166,Winter,Clay,Sinai,7099,18397,13221,430,867,30800,18297
Fava Beans,76,Winter,Clay,North_Coast,3504,3456,10439,9078,0,23675,44602
Potato,7,Winter,Clay,Delta,12494,10989,8086,10433,4187,40592,7069
Wheat,16,Winter,Calcareous,Delta,39086,12329,0,19022,9393,39891,18348
Potato,20,Winter,Loamy,Sinai,57475,9076,29693,37197,4049,33073,5369
Wheat,138,Winter,Clay,Delta,20060,18868,19452,0,9413,32308,18930
Cotton,1,Summer,Clay,Upper_Egypt,14100,5442,18446,15712,12090,9965,29675
Cotton,57,Summer,Clay,Upper_Egypt,27748,12254,26623,14586,4797,14437,26790
Maize,5,Summer,Clay,Upper_Egypt,3851,2635,2272,2180,1466,40139,13260
Wheat,100,Winter,Clay,NewLands,70700,53421,36287,42514,23189,34341,18159
Potato,61,Winter,Sandy,North_Coast,8961,34016,31231,2824,16690,51766,5892
Tomato,96,Nile,Sandy,North_Coast,22791,0,17859,45091,0,32485,4563
Maize,3,Summer,Loamy,Upper_Egypt,2037,1900,1228,1599,1069,40606,13076
Maize,185,Summer,Sandy,NewLands,24758,26,15239,5621,6855,25761,13221
Maize,284,Summer,Clay,Delta,15950,35549,17688,19012,5969,36149,12901
Fava Beans,48,Winter,Clay,North_Coast,20043,0,3682,733,10542,22971,44578
Fava Beans,74,Winter,Sandy,Sinai,21742,12402,6460,12101,2883,19510,44462
Cotton,15,Summer,Loamy,NewLands,16674,12623,9294,11333,8151,11937,30883
Maize,7,Summer,Sandy,Upper_Egypt,4834,3506,3416,3655,2342,33199,13195
Fava Beans,39,Winter,Calcareous,Delta,8068,7490,0,2744,9181,21988,44360
Potato,88,Nile,Loamy,Delta,21901,60025,36319,27921,9096,22728,6587
Rice,154,Nile,Clay,Delta,3047,20447,34533,0,15223,74719,22693
Maize,287,Summer,Loamy,North_Coast,40466,8031,6360,743,10773,35786,13249
Cotton,110,Summer,Sandy,Delta,0,19904,0,23037,0,13012,30361
Tomato,6,Nile,Clay,North_Coast,18356,44643,38357,0,21651,42232,5222
Tomato,2,Nile,Loamy,North_Coast,3341,2772,3011,2760,1783,42032,4319
Fava Beans,29,Winter,Loamy,Upper_Egypt,27791,6548,0,0,2876,26203,44448
Wheat,189,Winter,Loamy,Upper_Egypt,9423,30191,0,14943,9765,28623,18401
Cotton,90,Summer,Calcareous,Delta,0,7008,15898,2740,0,19671,29418
Sugarcane,128,Nile,Loamy,Upper_Egypt,52054,0,91584,107,13326,105916,2500
Maize,149,Summer,Loamy,North_Coast,0,14448,5577,9142,0,21207,12571
Potato,38,Winter,Sandy,North_Coast,37574,51755,22077,29689,11508,37135,5322
Cotton,38,Summer,Clay,Upper_Egypt,31532,0,14486,29389,14683,18790,28343
Sugarcane,410,Summer,Loamy,NewLands,41585,9747,38339,50819,11473,101792,2500
Maize,7,Summer,Calcareous,Upper_Egypt,4830,4489,2900,3024,2031,27111,13501
Sugarcane,212,Summer,Loamy,Upper_Egypt,46840,23781,25486,6451,0,103490,2500
Rice,268,Nile,Clay,NewLands,3098,19108,23789,3238,705,78824,22903
Maize,1,Summer,Clay,North_Coast,822,744,565,506,372,36492,13043
Potato,2,Winter,Sandy,Delta,4273,2793,3033,2971,1443,18474,6632
Rice,4,Summer,Loamy,Delta,0,2454,29587,13350,13853,84869,22468
Sugarcane,457,Nile,Clay,Upper_Egypt,92105,71355,45586,77151,9054,100196,2500
Potato,49,Nile,Loamy,Delta,88008,65712,40510,27080,0,20915,6522
Sugarcane,210,Nile,Loamy,Upper_Egypt,33931,0,36347,54904,12302,108179,2500
Maize,128,Summer,Sandy,Delta,13283,5732,12624,10313,6139,37298,13076
Sugarcane,100,Nile,Loamy,Upper_Egypt,165699,127106,132992,157871,47952,110286,2500
Potato,3,Nile,Clay,Sinai,5321,5014,4159,3999,2075,25548,4347
Rice,443,Summer,Clay,Delta,34680,13444,21806,0,11372,84360,23390
Rice,10,Summer,Loamy,Delta,9346,6158,7128,6349,4122,79401,22625
Tomato,50,Nile,Clay,Sinai,17736,3654,0,0,20160,53373,3616
Tomato,39,Summer,Clay,Upper_Egypt,33707,27147,26913,26808,0,32462,4641
Cotton,2,Summer,Clay,Delta,2873,1608,1243,1952,1328,27804,31776
Cotton,87,Summer,Loamy,NewLands,28658,27451,11816,20818,18961,14445,29651
Tomato,68,Nile,Loamy,Delta,12151,14313,28068,39629,0,41624,4834
Cotton,71,Summer,Clay,Delta,33536,14069,10243,29120,13149,19025,32111
Wheat,57,Winter,Clay,Sinai,13334,27958,5388,15257,3569,32850,19028
Wheat,106,Winter,Loamy,Upper_Egypt,31398,18503,1279,9372,11170,30477,19181
Cotton,146,Summer,Loamy,Upper_Egypt,6446,16725,14975,2071,14224,16466,30888
Potato,28,Winter,Loamy,Sinai,66733,1197,21180,29874,18067,37755,5990
Rice,264,Summer,Loamy,Delta,0,16625,17282,17138,5340,79527,22080
Maize,70,Summer,Loamy,Upper_Egypt,12855,0,0,8970,7512,28843,12954
Maize,229,Nile,Sandy,Delta,12801,0,1327,18039,0,30245,12787
Maize,232,Summer,Loamy,Upper_Egypt,6206,11726,7486,5163,4407,43883,13630
Cotton,148,Summer,Sandy,Delta,61799,19209,20328,15908,26964,10513,29597
Rice,20,Summer,Clay,Delta,16264,12707,12702,12167,6618,94417,23071
Cotton,20,Summer,Clay,Delta,20942,12538,10959,15186,8563,20292,30620
Wheat,128,Winter,Clay,North_Coast,25588,11381,0,0,7439,34934,18431
Wheat,48,Winter,Clay,Sinai,12769,13583,102,8931,9976,29013,19207
Maize,7,Summer,Calcareous,North_Coast,4363,4432,3300,3283,2241,22680,12849
Cotton,61,Nile,Sandy,Upper_Egypt,46012,9707,1842,36138,27502,21847,30118
Wheat,88,Winter,Sandy,Delta,36631,15637,25525,9499,7451,45533,18062
Rice,3,Summer,Loamy,Delta,3219,1939,2877,2008,1348,78645,22242
Potato,93,Winter,Sandy,Sinai,0,30788,13359,47449,1678,37332,5584
Potato,92,Winter,Loamy,Delta,54753,47036,5281,55012,15857,23714,5923
Sugarcane,447,Summer,Clay,Upper_Egypt,100596,32038,107253,56659,0,103588,2500
Rice,259,Nile,Clay,Delta,1782,1007,21125,25895,7399,77075,22603
Rice,437,Summer,Loamy,Delta,19544,0,4325,0,18587,80905,22193
Rice,203,Summer,Loamy,Delta,16433,19272,25837,5250,5791,81060,22953
Fava Beans,30,Winter,Calcareous,Delta,18628,7432,7491,2073,1527,21522,44274
Maize,50,Summer,Clay,Delta,31258,26689,20266,22288,12921,47072,13236
Maize,130,Summer,Loamy,Upper_Egypt,16273,7875,14165,0,409,25790,13046
Cotton,45,Summer,Sandy,Upper_Egypt,8610,14303,14251,2042,0,14401,27795
Tomato,20,Nile,Clay,Sinai,24019,18713,25971,25722,12669,56200,4282
Sugarcane,76,Summer,Loamy,Upper_Egypt,0,53693,19241,41786,12380,108006,2500
Maize,5,Summer,Calcareous,Upper_Egypt,3169,2822,2224,2475,1419,23887,13112
Maize,15,Summer,Calcareous,NewLands,9821,7076,6930,6191,4259,24217,13398
Maize,98,Summer,Clay,NewLands,2512,23767,11520,19217,3251,24177,12499
Sugarcane,238,Nile,Clay,Upper_Egypt,7353,35773,134229,2835,12373,116932,2500
Cotton,104,Summer,Sandy,Upper_Egypt,3476,0,6734,0,20673,13768,29619
Potato,22,Winter,Loamy,NewLands,52934,0,35330,0,10472,35710,6342
Cotton,131,Summer,Sandy,NewLands,9596,0,12980,47604,8793,19112,30144
Fava Beans,9,Winter,Clay,Delta,19116,4488,6568,1257,2786,18279,44388
Wheat,50,Winter,Clay,Delta,0,14032,3219,27367,9345,28264,18260
Fava Beans,33,Winter,Sandy,Upper_Egypt,15127,0,10727,15947,2792,14825,44381
Wheat,113,Winter,Sandy,Upper_Egypt,0,8478,0,6125,2971,36429,18916
Fava Beans,22,Winter,Clay,North_Coast,0,11427,7163,6640,10433,19373,44504
Maize,52,Summer,Calcareous,North_Coast,22611,9144,6773,16572,2888,26078,13555
Maize,61,Summer,Sandy,North_Coast,8413,5075,4559,4753,0,40102,13006
Cotton,84,Summer,Sandy,Upper_Egypt,40065,12196,3727,8849,16378,18256,28849
Cotton,144,Nile,Sandy,Delta,41419,3160,10868,7890,8548,8184,27716
Rice,298,Nile,Loamy,Delta,8458,22119,27239,0,7031,80126,21965
Tomato,69,Summer,Sandy,Upper_Egypt,0,49915,20971,23587,10756,26994,3724
Sugarcane,159,Summer,Sandy,Upper_Egypt,64313,42765,38215,38088,0,97579,2500
Sugarcane,50,Summer,Clay,Upper_Egypt,73690,65321,75010,80188,20030,113998,2500
Cotton,2,Summer,Loamy,NewLands,2290,1521,1243,1722,1167,17330,27621
Maize,127,Summer,Sandy,Upper_Egypt,11942,11594,20935,17030,0,34592,13273
Tomato,64,Winter,Sandy,Sinai,0,42674,49916,33374,23801,33044,4206
Cotton,20,Summer,Sandy,Delta,18305,13232,11704,12529,10553,13243,30051
Potato,70,Nile,Loamy,NewLands,93482,43007,19359,66108,20870,44328,6899
Sugarcane,393,Nile,Clay,Upper_Egypt,0,64716,52214,0,15125,102360,2500
Potato,94,Winter,Sandy,Delta,48530,18773,31860,5494,23965,40215,5786
Sugarcane,50,Summer,Loamy,Upper_Egypt,85473,82592,72680,86609,20438,111274,2500
Potato,3,Winter,Clay,North_Coast,6600,4995,3411,4614,1713,44710,4673
Sugarcane,24,Nile,Sandy,Upper_Egypt,30166,49672,18745,32833,8226,88978,2500
Fava Beans,98,Winter,Calcareous,Delta,31565,5596,5928,6067,1662,25853,44469
Cotton,30,Summer,Calcareous,NewLands,32388,22859,16286,20726,14968,11199,28457
Maize,166,Summer,Loamy,NewLands,0,1900,5768,0,9712,22105,12986
Cotton,83,Summer,Sandy,Upper_Egypt,30975,17162,9552,7676,5436,12559,29953
Rice,434,Summer,Clay,NewLands,30148,29771,346,19734,14714,83154,22871
Potato,40,Nile,Loamy,Sinai,36603,50398,32871,28090,32497,38749,5561
Sugarcane,275,Summer,Clay,Upper_Egypt,84760,35731,24927,59296,29230,97430,2500
Tomato,77,Summer,Loamy,Delta,42998,32697,12679,0,9732,42461,4611
Maize,176,Summer,Clay,NewLands,14717,14356,6110,9710,0,26132,12718
Maize,219,Summer,Sandy,NewLands,10729,2642,0,2670,2631,39236,13418
Fava Beans,10,Winter,Loamy,Delta,5373,2762,3222,4189,2049,26417,44486
Maize,7,Summer,Loamy,Delta,5298,3892,3065,3646,2067,34664,13028
Potato,15,Nile,Sandy,Sinai,28358,22672,15389,19553,9919,29321,6364
Potato,15,Winter,Sandy,Sinai,24451,19382,17875,18652,9586,17098,6083
Wheat,63,Nile,Sandy,North_Coast,1236,17288,14767,13316,6362,35741,18858
Wheat,1,Winter,Sandy,Upper_Egypt,841,670,527,600,398,22576,18545
Tomato,61,Nile,Sandy,Sinai,24153,35235,17925,0,10294,58855,4149
Maize,89,Summer,Clay,NewLands,11357,8878,10871,6412,2860,18076,13124
Maize,289,Summer,Clay,NewLands,21317,11680,3731,3990,2840,28904,12703
Tomato,84,Nile,Sandy,Upper_Egypt,3431,0,52023,62723,0,32760,4465
Sugarcane,319,Summer,Loamy,Upper_Egypt,86452,0,80350,113078,11643,93595,2500
Wheat,33,Winter,Sandy,Sinai,30797,26039,23705,12723,10361,30863,18313
Tomato,70,Nile,Loamy,Upper_Egypt,8708,42337,1146,52475,8798,50669,4361
Maize,7,Summer,Clay,NewLands,5410,4538,3086,3497,2228,39709,12497
Tomato,94,Nile,Loamy,Delta,53641,16008,45061,39151,29469,35781,4177
Maize,198,Nile,Clay,Delta,18048,22476,3441,14275,6629,37068,13049
Cotton,10,Summer,Loamy,Delta,16854,40569,12552,20670,11251,14413,30069
Potato,15,Nile,Loamy,North_Coast,30993,18752,15513,20661,8896,54617,5338
Potato,15,Winter,Loamy,North_Coast,26397,22729,19688,21107,9678,53696,6694
Tomato,67,Nile,Clay,North_Coast,13706,44083,26610,50816,25167,28098,4038
Sugarcane,453,Nile,Sandy,Upper_Egypt,54966,8202,27782,0,0,106817,2500
Wheat,24,Winter,Sandy,North_Coast,4117,11171,0,5664,14892,34207,18611
Wheat,123,Winter,Sandy,Sinai,28465,7113,0,861,152,20498,18107
Rice,99,Summer,Clay,NewLands,29984,14832,9809,10233,0,78733,24020
Tomato,1,Nile,Loamy,North_Coast,1477,1448,1406,1570,811,25232,3895
Sugarcane,15,Summer,Loamy,Upper_Egypt,23951,27261,22084,30204,8167,89963,2500
Rice,217,Summer,Clay,North_Coast,3215,10530,16839,9355,15856,81979,23575
Sugarcane,1,Nile,Loamy,Upper_Egypt,2029,2323,1770,1965,582,123719,2500
Wheat,170,Winter,Clay,Upper_Egypt,7969,11315,9730,3264,3336,27423,19064
Potato,7,Nile,Clay,Sinai,11913,11071,9010,9373,4648,46617,5797
Fava Beans,16,Winter,Sandy,Delta,7597,9095,10153,8252,2674,26009,44545
Fava Beans,29,Winter,Sandy,North_Coast,10996,0,7089,0,0,17673,44540
Rice,272,Summer,Clay,North_Coast,26515,23398,18417,29246,20278,81440,22923
Tomato,30,Nile,Loamy,North_Coast,43086,29964,36545,42681,19166,40555,4772
Rice,255,Summer,Clay,Delta,13632,14676,10137,14523,3271,77407,23456
Tomato,65,Nile,Loamy,North_Coast,65466,33179,16739,45075,31048,50244,3652
Rice,10,Summer,Clay,Delta,9280,6429,7205,5224,3427,89633,23749
Fava Beans,10,Winter,Sandy,Sinai,4801,3111,3149,3840,1706,17223,44251
Tomato,61,Nile,Sandy,Upper_Egypt,59412,23009,23640,0,0,66277,4869
Tomato,30,Nile,Sandy,Upper_Egypt,40924,33044,30999,39654,22443,26267,4910
Wheat,79,Winter,Clay,Delta,0,11982,0,8190,6414,39553,17898
Maize,33,Summer,Clay,Upper_Egypt,12064,4463,24072,0,3622,39654,12908
Fava Beans,1,Winter,Sandy,Upper_Egypt,744,359,409,430,259,25001,44334
Maize,75,Summer,Sandy,North_Coast,0,0,9878,2165,3142,45732,12963
Potato,67,Winter,Sandy,Delta,116359,36169,53382,19147,17109,33294,5763
Fava Beans,95,Winter,Clay,Sinai,0,6266,15309,0,0,27446,44619
Sugarcane,379,Summer,Clay,Upper_Egypt,33667,62743,33340,17816,17329,95057,2500
Wheat,170,Winter,Clay,Upper_Egypt,20951,529,16413,0,5868,27329,19066
Sugarcane,5,Summer,Loamy,Upper_Egypt,9120,9794,7446,10288,2830,98514,2500
Sugarcane,2,Summer,Loamy,Upper_Egypt,4692,3454,3557,4330,1068,81717,2500
Wheat,20,Winter,Calcareous,Delta,13465,11386,8602,10044,5412,50194,17620
Wheat,7,Winter,Calcareous,North_Coast,5335,4254,3446,3362,2352,28458,18032
Rice,308,Summer,Clay,Delta,20105,24497,1811,13475,16516,78844,23554
Tomato,47,Summer,Loamy,Sinai,27510,9221,5699,22570,21371,33710,5124
Sugarcane,174,Summer,Sandy,Upper_Egypt,25076,84454,25887,0,0,109315,2500
Wheat,30,Winter,Calcareous,Delta,24237,17851,12986,14505,7874,33076,18132
Cotton,2,Summer,Sandy,Delta,2668,1901,1450,1713,1328,10958,29807
Fava Beans,69,Winter,Clay,Upper_Egypt,0,38,7335,3039,1087,22284,44543
Wheat,10,Winter,Calcareous,NewLands,7661,6484,4269,4674,2663,28887,18030
Fava Beans,21,Winter,Clay,Sinai,25773,5332,10741,4826,4629,34798,44565
Potato,7,Nile,Clay,Sinai,12119,8726,9706,11252,3900,49603,5665
Maize,269,Summer,Sandy,Upper_Egypt,949,14577,0,0,6927,20852,13019
Potato,50,Winter,Loamy,Delta,90616,52606,46665,53064,22883,30637,6268
Maize,149,Summer,Clay,NewLands,0,4337,13622,0,8624,38145,13025
Rice,10,Summer,Clay,Delta,9369,6309,7821,5342,4259,83935,22750
Wheat,63,Winter,Loamy,North_Coast,21327,0,2752,10697,5345,13441,18359
Maize,30,Summer,Loamy,Delta,19727,17220,11768,12194,7966,43360,12998
Sugarcane,1,Summer,Loamy,Upper_Egypt,2405,2288,1876,2195,592,85804,2500
Wheat,30,Winter,Calcareous,Upper_Egypt,20132,14120,13329,12638,7729,33048,18289
Maize,100,Summer,Clay,Delta,49674,41832,34741,37736,24345,46949,13470
Sugarcane,7,Summer,Loamy,Upper_Egypt,13821,14124,10317,14385,3980,91335,2500
Tomato,97,Summer,Sandy,Delta,31185,19744,43057,39599,34169,44140,4288
Wheat,93,Winter,Sandy,Upper_Egypt,21653,1879,22584,15989,5545,39809,18738
Cotton,94,Summer,Sandy,Delta,0,12724,17745,9971,17996,9576,29375
Cotton,112,Summer,Sandy,Upper_Egypt,50311,10420,13848,0,5125,17407,31494
Potato,30,Summer,Sandy,Delta,72329,37950,16664,13347,34487,49452,6164
Potato,8,Winter,Sandy,Delta,29631,20605,43143,63190,23587,33602,5882
Maize,218,Summer,Calcareous,Delta,5508,10575,5323,2638,4720,18608,13148
Cotton,13,Summer,Sandy,Upper_Egypt,34371,12554,446,18851,0,12213,27636
Rice,247,Summer,Loamy,Delta,5067,14405,30148,19504,0,81203,22353
Fava Beans,15,Winter,Loamy,NewLands,7185,3902,3869,4931,2619,24940,44321
Rice,470,Summer,Loamy,Delta,37503,20271,24871,10724,7855,80716,23082
Wheat,20,Winter,Clay,North_Coast,31720,19233,12842,24766,14772,34751,19224
Tomato,12,Nile,Loamy,North_Coast,27563,27971,24643,0,4463,32541,5394
Tomato,4,Nile,Loamy,Upper_Egypt,57405,0,6706,24418,49387,23738,4696
Wheat,59,Winter,Loamy,Upper_Egypt,18554,2770,1622,10218,1336,35482,18646
Cotton,30,Summer,Loamy,Upper_Egypt,31156,23340,14171,18861,13077,18753,27312
Cotton,5,Summer,Clay,Delta,5981,4090,3522,3570,2549,20639,29082
Cotton,12,Summer,Clay,NewLands,23373,0,21222,24778,10497,15550,28737
Wheat,3,Winter,Sandy,NewLands,2556,1829,1585,1588,1059,28020,18119
Rice,315,Summer,Clay,Delta,35173,8302,24007,16344,11435,88376,22904
Rice,30,Summer,Clay,Delta,21100,19351,18910,16003,10805,87283,22729
Rice,20,Summer,Clay,Delta,16340,13148,16401,10976,7444,87013,21864
Rice,65,Summer,Loamy,Delta,0,17373,0,19967,10642,74150,23430
Maize,144,Summer,Clay,North_Coast,7,0,30608,6017,2284,36413,12723
Cotton,142,Summer,Clay,NewLands,49165,35267,9914,2415,14009,14791,30181
Wheat,30,Winter,Loamy,North_Coast,20867,16536,11470,12880,8146,37359,19385
Rice,23,Summer,Clay,Delta,877,22492,23520,0,8941,79434,22472
Potato,6,Winter,Clay,NewLands,32392,14720,31830,29528,12864,37889,4449
Fava Beans,1,Winter,Clay,Delta,765,355,412,448,216,26015,44458
Maize,243,Summer,Sandy,Delta,1737,10450,6304,21300,5816,33797,13331
Tomato,7,Nile,Sandy,Upper_Egypt,8590,9023,8002,10998,5089,42765,5274
Wheat,22,Winter,Calcareous,North_Coast,19046,0,8556,21777,0,44227,17833
Sugarcane,15,Summer,Loamy,Upper_Egypt,24128,28310,19453,24044,7902,117525,2500
Tomato,2,Summer,Loamy,North_Coast,2990,2796,3048,3117,1726,40920,4214
Tomato,90,Winter,Loamy,Delta,48355,32959,52896,57160,16371,33213,4371
Potato,5,Winter,Loamy,Delta,8615,7145,6301,7594,3184,59679,7509
Potato,20,Nile,Loamy,Delta,34513,25591,24554,22412,12285,47388,5057
Sugarcane,74,Summer,Loamy,Upper_Egypt,1737,51657,56616,68142,17272,109820,2500
Rice,47,Summer,Loamy,Delta,32703,11228,16418,1371,3802,76364,23269
Rice,224,Nile,Loamy,North_Coast,21915,7248,17745,0,14739,74808,23624
Cotton,9,Summer,Sandy,Upper_Egypt,47688,17083,5964,4908,4070,11431,29982
Sugarcane,462,Summer,Loamy,Upper_Egypt,45197,11493,0,82432,28363,106135,2500
Tomato,41,Nile,Sandy,Sinai,24725,53560,56509,55138,39664,24003,4246
Sugarcane,82,Summer,Clay,NewLands,167,59319,12751,5575,0,107858,2500
Sugarcane,215,Summer,Loamy,Upper_Egypt,0,30769,26230,57687,9164,107023,2500
Rice,100,Summer,Loamy,Delta,75948,55933,67743,44935,29400,80793,23357
Tomato,98,Nile,Loamy,Upper_Egypt,20765,63168,50307,33479,6924,33755,4256
Tomato,38,Nile,Sandy,Upper_Egypt,0,20676,24952,44528,0,37514,4582
Cotton,135,Summer,Sandy,Delta,16466,5991,15337,14456,20612,16947,29803
Wheat,68,Winter,Calcareous,Upper_Egypt,14665,4244,13553,0,1997,31172,18939
Wheat,129,Winter,Loamy,Upper_Egypt,16111,15302,14413,25823,11703,28921,18386
Sugarcane,275,Nile,Clay,NewLands,72147,55221,2398,0,13957,122985,2500
Maize,259,Summer,Loamy,NewLands,40650,22233,10057,12036,6540,24528,13376
Fava Beans,7,Winter,Clay,Upper_Egypt,28206,11895,1310,0,2241,24860,44365
Cotton,70,Summer,Sandy,NewLands,3169,31348,19181,2382,2494,17378,28925
Sugarcane,237,Nile,Loamy,NewLands,18193,10055,8620,6543,7498,105352,2500
Tomato,60,Nile,Clay,Sinai,32849,25520,23327,71947,15937,40337,5019
Potato,73,Winter,Sandy,North_Coast,38221,1465,0,0,27135,38773,4682
Rice,384,Summer,Clay,Delta,4283,9345,18745,0,17330,79946,24802
Sugarcane,374,Nile,Clay,Upper_Egypt,4955,13802,27020,0,0,93189,2500
Maize,202,Summer,Loamy,Upper_Egypt,3868,22403,0,0,9089,38930,13085
Sugarcane,336,Nile,Loamy,NewLands,38453,62359,1496,20059,27065,97199,2500
Cotton,10,Summer,Clay,Upper_Egypt,11940,7540,6364,8536,5852,15597,30246
Tomato,1,Summer,Sandy,Sinai,1861,1297,1439,1743,884,26640,4645
Sugarcane,50,Nile,Loamy,Upper_Egypt,74078,75553,64582,79276,23550,95982,2500
Potato,20,Winter,Sandy,Delta,35608,24976,20614,28703,12681,38018,6274
Cotton,59,Summer,Clay,Upper_Egypt,12464,26373,9622,17945,685,17452,29971
Fava Beans,50,Winter,Clay,North_Coast,0,14384,9829,15820,2995,20975,44471
Sugarcane,250,Summer,Loamy,Upper_Egypt,15945,27098,31336,55863,25911,97831,2500
Sugarcane,30,Nile,Clay,Upper_Egypt,48938,52290,39350,49575,12654,98370,2500
Cotton,15,Summer,Sandy,Upper_Egypt,16317,12024,9417,11661,8417,15720,31439
Fava Beans,51,Winter,Calcareous,Sinai,0,9746,4574,14123,2547,25162,44590
Fava Beans,19,Nile,Calcareous,North_Coast,3985,10049,4033,17026,4055,21230,44058
Maize,5,Summer,Calcareous,Delta,3569,2844,2444,2793,1400,24319,13206
Maize,198,Summer,Loamy,Delta,28390,14338,9221,15933,1644,35815,13077
Maize,144,Nile,Calcareous,NewLands,14150,8868,0,16124,5516,39717,13018
Fava Beans,78,Winter,Clay,Delta,0,6624,6151,12848,3772,31076,44442
Fava Beans,61,Winter,Loamy,Sinai,16487,12028,2739,11330,4367,23856,44670
Rice,497,Summer,Loamy,Delta,10343,23442,28369,18225,18812,71785,23544
Tomato,90,Winter,Loamy,Delta,0,13796,39700,26241,13214,49142,4079
Potato,18,Winter,Loamy,Sinai,25585,0,21489,37247,10216,23193,6186
Tomato,5,Nile,Calcareous,Upper_Egypt,49187,20408,13964,39014,28559,44674,3992
Tomato,20,Nile,Loamy,Sinai,29440,22174,25885,26180,13321,24309,3814
Cotton,93,Summer,Clay,Upper_Egypt,0,0,31703,3049,18726,13295,28963
Potato,46,Winter,Loamy,Sinai,0,14186,20661,12079,7993,33288,6455
Tomato,45,Nile,Sandy,Delta,5047,31691,36962,28666,2319,28779,4834
Sugarcane,340,Nile,Loamy,Upper_Egypt,34466,7873,17717,52607,4684,99021,2500
Wheat,20,Winter,Calcareous,NewLands,16336,12644,8936,9371,6402,23679,18751
Wheat,15,Winter,Clay,NewLands,12528,8036,6541,7516,3852,33261,18653
Tomato,76,Nile,Loamy,North_Coast,46905,29587,7833,42136,18265,36375,4137
Tomato,21,Nile,Sandy,Delta,11773,14058,25672,5440,0,49511,4606
Fava Beans,68,Winter,Loamy,North_Coast,16084,0,6677,7388,8492,18836,44622
Potato,14,Winter,Sandy,North_Coast,9715,56395,53893,53894,694,43639,6391
Potato,37,Winter,Sandy,Delta,91639,17808,61862,24613,4692,33376,6648
Potato,3,Nile,Sandy,Sinai,26827,23489,18037,1323,10974,42643,6364
Maize,73,Summer,Clay,Delta,25926,13977,16275,5263,0,27587,13121
Sugarcane,267,Summer,Clay,Upper_Egypt,85627,96138,26640,41007,21876,94841,2500
Maize,5,Summer,Calcareous,Delta,3343,2577,2053,2391,1467,37495,13016
Fava Beans,33,Winter,Sandy,Delta,0,4399,11952,5164,10251,23520,44368
Tomato,34,Winter,Sandy,Delta,30056,40128,6090,0,42638,31447,4346
Potato,74,Winter,Calcareous,Delta,53772,49452,41063,30347,3400,30714,5505
Potato,77,Nile,Sandy,Sinai,12143,21755,6651,56426,18250,39403,5546
Tomato,9,Summer,Sandy,Delta,47049,23376,39090,0,19143,36614,4354
Rice,448,Summer,Clay,Delta,0,3385,13831,19099,3076,76060,22545
Rice,7,Summer,Clay,Delta,5553,4389,5265,4734,2400,86050,22823
Cotton,140,Summer,Sandy,NewLands,23233,4675,1815,12527,4977,18808,27182
Cotton,59,Nile,Clay,Delta,53024,6856,14781,24647,11334,9946,30144
Cotton,103,Summer,Sandy,Delta,7521,4646,26081,0,7689,18005,29846
Tomato,15,Nile,Loamy,Delta,21038,15676,15678,21142,11519,29480,4060
Wheat,197,Winter,Clay,Upper_Egypt,14272,4773,769,0,2210,29184,18720
Cotton,137,Summer,Sandy,Delta,23703,19747,13302,0,29431,16076,31163
Cotton,15,Summer,Sandy,Delta,17261,11673,8385,10304,7498,15515,27584
Maize,2,Summer,Clay,Upper_Egypt,1580,1396,1080,1083,595,38926,12810
Maize,60,Summer,Sandy,Delta,0,15075,8217,0,8128,29061,12808
Cotton,122,Summer,Calcareous,Upper_Egypt,25933,5041,13037,29519,0,18144,28523
Maize,1,Summer,Loamy,NewLands,779,725,494,565,364,35565,13255
Wheat,43,Nile,Clay,Upper_Egypt,12961,23515,22979,29294,13636,22881,18319
Rice,383,Summer,Clay,Delta,28058,5563,8778,22449,20530,83191,22848
Tomato,10,Nile,Loamy,Delta,26153,0,0,47033,10433,41611,3540
Cotton,140,Nile,Calcareous,Upper_Egypt,0,0,9829,11444,3695,15049,30738
Fava Beans,3,Winter,Calcareous,Sinai,1868,1046,925,1299,661,19246,44314
Fava Beans,20,Winter,Calcareous,Sinai,10722,5273,5215,8133,3258,17064,44510
Potato,57,Winter,Sandy,Delta,0,26838,17990,15814,14100,10506,6109
Rice,20,Summer,Clay,Delta,17235,13119,15587,12882,7406,90240,23782
Potato,72,Winter,Clay,North_Coast,0,30934,27622,13037,0,32402,5171
Potato,68,Winter,Sandy,Delta,64543,36319,18761,7595,8048,32885,4160
