nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,soil_ph,organic_matter_pct,temperature_avg_c,humidity_pct,rainfall_mm,soil_type,region,season,recommended_crop
56.0,25.4,156.3,7.95,1.157,35.8,30.9,1.0,Loamy,Upper_Egypt,Summer,Cotton
116.3,30.6,176.6,6.5,1.6,33.8,45.5,3.0,Loamy,Upper_Egypt,Summer,Sugarcane
88.4,33.9,256.2,5.9,2.5,33.2,76.9,6.7,Clay,Delta,Summer,Rice
92.0,40.4,179.4,6.6,1.3,22.8,71.8,5.1,Loamy,NewLands,Summer,Maize
41.2,27.4,110.3,6.06,0.991,19.1,87.1,17.2,Loamy,North_Coast,Winter,Fava Beans
102.8,35.0,181.6,6.1,1.7,21.9,53.2,3.4,Sandy,Delta,Winter,Tomato
73.1,28.7,172.8,6.69,2.029,32.3,39.5,0.1,Loamy,NewLands,Nile,Sugarcane
95.8,54.2,142.2,7.42,1.228,22.2,55.1,5.3,Clay,Sinai,Winter,Tomato
72.5,33.4,185.4,6.8,1.1,33.1,34.8,0.0,Sandy,Upper_Egypt,Summer,Cotton
40.6,43.0,133.8,7.79,1.008,30.6,21.8,3.3,Sandy,Upper_Egypt,Summer,Cotton
63.2,40.7,224.0,6.29,1.865,21.8,71.5,34.9,Sandy,North_Coast,Summer,Potato
94.5,38.7,205.6,6.8,1.6,26.2,47.9,2.1,Clay,Sinai,Nile,Tomato
67.8,46.7,242.3,6.09,1.111,28.2,45.8,0.4,Loamy,Upper_Egypt,Winter,Tomato
71.7,34.4,207.3,6.6,1.6,14.4,62.0,33.2,Clay,Upper_Egypt,Winter,Wheat
100.9,45.9,151.0,6.27,1.011,18.8,43.8,0.4,Loamy,Upper_Egypt,Nile,Tomato
39.6,41.9,188.9,6.01,1.844,15.8,62.4,57.9,Loamy,Upper_Egypt,Nile,Fava Beans
65.4,28.0,219.8,6.84,1.698,25.7,43.7,2.1,Loamy,Sinai,Winter,Tomato
77.4,37.9,191.0,7.17,1.294,20.5,76.9,0.6,Sandy,Upper_Egypt,Summer,Maize
37.0,30.5,111.7,7.6,0.7,9.8,74.5,37.7,Clay,Delta,Winter,Fava Beans
73.5,29.5,200.3,6.57,2.594,28.1,69.0,8.4,Clay,NewLands,Summer,Rice
75.8,45.2,139.5,7.37,0.801,16.9,48.8,55.6,Clay,Sinai,Winter,Wheat
86.4,47.9,163.1,6.2,2.5,20.2,76.6,3.4,Loamy,North_Coast,Summer,Maize
91.7,35.7,211.5,6.7,1.4,31.9,73.4,4.5,Clay,North_Coast,Summer,Maize
99.1,30.9,210.6,7.74,1.971,10.9,42.1,33.5,Clay,Delta,Winter,Wheat
72.2,33.4,183.6,7.31,1.381,27.8,38.7,3.4,Loamy,NewLands,Summer,Sugarcane
66.0,31.2,176.1,7.0,1.0,39.4,35.6,2.0,Calcareous,NewLands,Summer,Cotton
91.5,47.8,213.7,7.49,1.122,22.2,47.0,8.0,Clay,Delta,Nile,Tomato
79.4,45.2,189.9,6.7,1.6,16.9,58.1,19.9,Loamy,Sinai,Winter,Wheat
104.6,27.3,251.9,5.95,1.954,33.7,60.4,8.0,Loamy,Delta,Summer,Rice
74.4,31.7,217.6,7.22,1.628,25.1,69.3,5.4,Loamy,Delta,Nile,Maize
80.4,26.4,230.1,5.65,1.633,23.2,63.8,25.6,Loamy,NewLands,Summer,Potato
91.0,46.3,202.8,6.8,2.0,27.0,54.7,0.8,Clay,Delta,Nile,Tomato
88.1,48.5,169.5,6.7,2.8,22.3,56.4,5.6,Sandy,Delta,Nile,Tomato
81.0,32.6,197.4,7.1,1.6,24.6,52.5,4.6,Clay,Upper_Egypt,Summer,Maize
99.9,42.7,148.9,6.83,1.792,28.2,54.8,6.1,Clay,NewLands,Summer,Maize
88.9,49.8,221.3,6.77,1.855,18.3,53.1,34.4,Calcareous,Delta,Nile,Potato
70.0,39.3,219.8,6.2,1.5,22.3,60.3,13.7,Loamy,Delta,Winter,Potato
80.6,44.5,206.0,6.97,1.383,10.1,47.8,9.8,Clay,NewLands,Winter,Wheat
64.3,39.2,234.6,6.2,2.0,17.3,58.7,6.9,Clay,North_Coast,Winter,Potato
106.8,29.1,154.7,5.96,1.54,22.6,77.0,7.4,Clay,Upper_Egypt,Summer,Maize
68.5,36.9,229.2,6.8,1.7,29.5,39.5,3.0,Loamy,Upper_Egypt,Nile,Sugarcane
85.2,46.8,121.9,6.99,1.526,12.3,59.6,41.2,Clay,Delta,Winter,Wheat
119.9,39.5,195.7,6.6,1.4,31.4,68.2,5.0,Loamy,NewLands,Summer,Maize
78.8,34.9,152.7,6.7,3.2,19.9,69.3,15.4,Loamy,Delta,Summer,Potato
37.7,21.2,133.6,6.44,1.244,11.3,70.7,24.2,Calcareous,Upper_Egypt,Nile,Fava Beans
68.9,34.9,149.0,6.39,1.965,22.0,41.8,5.3,Sandy,North_Coast,Nile,Tomato
66.8,29.4,123.9,7.4,1.495,31.5,44.5,4.7,Sandy,Upper_Egypt,Summer,Cotton
99.4,41.4,152.3,6.63,1.95,14.0,51.1,9.8,Calcareous,Sinai,Winter,Wheat
71.9,42.5,163.4,7.18,1.719,37.9,24.8,1.6,Clay,Upper_Egypt,Nile,Cotton
73.5,36.4,160.9,7.1,1.8,19.6,52.1,47.4,Sandy,Delta,Winter,Wheat
64.9,30.5,245.8,6.46,2.925,25.8,61.6,4.3,Loamy,Delta,Summer,Tomato
77.3,35.9,181.4,6.21,1.967,33.7,39.8,1.1,Clay,Upper_Egypt,Summer,Cotton
88.8,39.2,133.0,7.09,0.925,12.6,59.4,24.4,Calcareous,NewLands,Winter,Wheat
95.1,54.2,196.1,6.5,1.5,33.4,40.9,2.0,Clay,NewLands,Summer,Sugarcane
26.2,43.3,196.8,7.75,1.481,8.8,73.7,35.1,Sandy,Delta,Winter,Fava Beans
94.0,29.6,229.4,6.99,1.449,22.7,60.5,26.0,Sandy,Delta,Winter,Potato
48.4,35.7,159.1,7.0,2.4,11.8,76.8,41.4,Sandy,Upper_Egypt,Winter,Fava Beans
40.8,43.6,129.7,6.09,1.05,32.3,42.7,5.2,Sandy,NewLands,Summer,Cotton
90.1,36.3,149.9,7.45,2.658,13.6,49.6,5.5,Loamy,Delta,Winter,Wheat
85.8,44.6,218.9,6.29,3.172,24.1,73.7,12.1,Sandy,North_Coast,Nile,Potato
82.6,38.6,197.6,6.23,1.869,30.7,84.0,8.0,Loamy,NewLands,Summer,Rice
86.3,39.6,208.3,7.89,1.841,10.3,51.1,17.0,Clay,Upper_Egypt,Winter,Wheat
46.2,27.6,183.9,7.7,0.5,34.9,43.6,3.9,Loamy,Delta,Summer,Cotton
88.1,39.5,262.6,6.2,1.551,24.1,56.8,21.4,Loamy,NewLands,Winter,Potato
112.2,48.5,249.4,7.16,1.718,39.3,42.5,0.2,Loamy,Upper_Egypt,Summer,Sugarcane
68.1,53.4,141.8,7.6,1.5,17.6,49.4,38.9,Clay,North_Coast,Winter,Wheat
96.6,56.2,168.2,7.4,1.7,25.6,61.8,4.0,Calcareous,North_Coast,Winter,Tomato
88.7,41.9,147.4,7.0,1.5,12.2,49.2,37.1,Loamy,Delta,Winter,Wheat
73.9,36.2,174.7,7.4,1.6,34.3,43.8,0.4,Clay,Upper_Egypt,Nile,Sugarcane
102.5,38.9,188.8,5.74,1.897,29.7,69.8,2.2,Clay,Delta,Summer,Rice
39.0,28.4,199.4,6.67,1.084,15.0,73.3,23.9,Sandy,Delta,Winter,Fava Beans
24.6,35.1,150.3,6.43,1.315,19.6,72.8,58.5,Clay,Sinai,Winter,Fava Beans
67.2,35.2,181.2,7.7,1.6,20.2,53.1,32.8,Clay,North_Coast,Nile,Wheat
85.9,47.2,129.5,7.71,2.367,21.8,60.2,53.5,Calcareous,Upper_Egypt,Winter,Wheat
75.4,33.1,182.3,6.3,1.5,40.4,44.0,3.1,Loamy,Delta,Summer,Cotton
109.9,45.1,208.4,7.43,2.558,33.7,51.4,4.2,Clay,NewLands,Nile,Sugarcane
92.8,36.9,169.2,6.4,1.6,20.4,60.8,17.7,Sandy,Delta,Winter,Potato
77.6,48.3,213.2,7.0,1.048,27.7,59.8,0.6,Loamy,Delta,Nile,Tomato
116.7,28.2,192.9,6.8,1.3,29.4,50.3,4.1,Sandy,NewLands,Summer,Maize
98.9,41.7,252.0,6.04,1.033,36.0,48.6,0.8,Clay,Upper_Egypt,Summer,Sugarcane
70.9,41.8,189.7,6.9,2.0,22.5,58.3,5.3,Loamy,North_Coast,Winter,Tomato
76.2,37.0,172.9,6.6,1.4,19.3,59.9,2.6,Sandy,Delta,Nile,Tomato
90.9,41.2,122.2,7.6,2.009,12.4,49.0,21.6,Loamy,Upper_Egypt,Winter,Wheat
58.3,20.3,131.7,6.35,1.849,35.1,33.0,0.9,Sandy,Delta,Summer,Cotton
110.7,29.1,184.1,7.02,2.002,27.0,42.6,1.2,Loamy,Upper_Egypt,Summer,Sugarcane
102.8,49.7,173.0,6.77,1.661,33.5,51.3,4.0,Loamy,Upper_Egypt,Nile,Sugarcane
109.7,50.6,181.8,7.24,2.579,24.8,50.4,1.6,Clay,Upper_Egypt,Nile,Tomato
102.1,28.1,207.0,6.45,1.64,21.1,53.0,5.6,Clay,Upper_Egypt,Summer,Maize
91.1,24.6,174.6,6.4,1.6,25.0,69.9,5.9,Sandy,Upper_Egypt,Summer,Maize
76.4,40.3,204.1,6.2,2.1,21.4,65.1,18.2,Sandy,Delta,Winter,Potato
104.7,54.4,175.5,5.72,1.239,20.9,70.3,29.8,Sandy,NewLands,Winter,Potato
89.6,31.9,182.5,7.1,2.0,29.6,47.0,2.7,Clay,Upper_Egypt,Nile,Sugarcane
89.4,25.3,235.3,7.2,1.2,28.2,48.0,0.5,Loamy,Upper_Egypt,Nile,Sugarcane
46.8,46.8,179.2,6.05,2.143,17.5,81.1,12.2,Sandy,Delta,Winter,Fava Beans
95.5,38.3,218.5,6.45,2.181,29.6,46.0,6.6,Sandy,Upper_Egypt,Winter,Tomato
52.6,44.4,123.4,7.41,2.27,13.9,79.8,52.0,Clay,Upper_Egypt,Nile,Fava Beans
62.6,27.1,155.5,7.5,1.2,39.8,44.4,2.2,Clay,Delta,Summer,Cotton
101.8,46.3,179.4,7.3,1.7,30.5,50.2,1.1,Clay,North_Coast,Summer,Maize
53.2,26.4,190.8,7.1,2.1,15.8,83.7,25.7,Sandy,Delta,Winter,Fava Beans
103.4,46.5,182.1,5.88,3.049,15.7,77.0,26.5,Sandy,Delta,Nile,Potato
32.9,36.7,137.0,6.14,1.52,13.3,68.5,47.6,Clay,Upper_Egypt,Winter,Fava Beans
109.3,31.1,168.6,6.11,1.979,31.3,54.8,7.3,Sandy,Upper_Egypt,Summer,Maize
66.5,25.4,158.4,6.2,1.2,31.6,38.9,0.0,Clay,Delta,Summer,Cotton
106.6,44.5,151.3,5.59,2.67,28.0,75.8,0.6,Clay,Delta,Summer,Rice
72.4,31.6,164.1,7.5,1.1,13.6,53.1,33.7,Clay,Delta,Winter,Wheat
93.0,22.5,211.4,6.3,2.8,25.0,40.5,2.8,Clay,Upper_Egypt,Nile,Sugarcane
75.9,20.3,171.8,5.85,1.419,25.6,66.5,2.3,Sandy,Upper_Egypt,Summer,Maize
24.7,35.7,193.1,6.9,2.2,16.0,77.8,25.6,Clay,Upper_Egypt,Winter,Fava Beans
67.2,23.9,208.5,7.85,1.863,40.0,24.0,1.7,Clay,NewLands,Summer,Cotton
77.3,34.6,169.5,7.0,0.9,33.1,31.9,1.5,Loamy,Delta,Summer,Cotton
79.9,42.6,160.5,6.86,1.24,38.8,38.0,0.2,Clay,Upper_Egypt,Summer,Cotton
79.9,36.8,213.1,6.3,1.9,20.6,63.1,11.6,Loamy,Sinai,Winter,Potato
79.3,46.0,221.2,6.9,1.6,29.7,44.6,2.3,Clay,Upper_Egypt,Nile,Sugarcane
90.5,32.9,143.8,6.5,1.189,27.4,70.8,6.6,Clay,Delta,Summer,Maize
93.9,42.8,194.6,6.6,2.0,21.8,68.1,19.3,Sandy,Delta,Winter,Potato
112.0,37.3,195.4,7.15,0.964,22.0,69.6,4.3,Clay,Upper_Egypt,Summer,Maize
68.8,37.1,165.3,6.37,0.724,37.4,26.2,3.6,Clay,Upper_Egypt,Summer,Cotton
102.4,40.0,185.2,5.8,2.3,30.2,74.7,5.6,Loamy,Delta,Summer,Rice
51.5,39.0,124.8,6.15,0.865,42.1,36.0,5.6,Sandy,Delta,Summer,Cotton
77.7,51.7,208.8,6.6,2.8,21.4,50.8,3.6,Sandy,Delta,Nile,Tomato
78.6,32.5,235.5,6.4,2.1,19.8,56.5,38.4,Sandy,Sinai,Winter,Potato
70.8,43.8,222.4,5.9,2.6,18.6,67.4,28.4,Sandy,Delta,Nile,Potato
95.2,40.5,213.0,5.7,2.5,34.4,80.6,7.3,Loamy,Delta,Summer,Rice
75.2,21.7,165.7,7.22,1.397,35.0,36.7,7.5,Sandy,Delta,Summer,Cotton
97.8,45.4,198.0,6.3,2.8,34.6,70.9,5.2,Clay,Delta,Summer,Rice
38.1,36.7,159.5,7.14,0.836,17.8,77.2,53.3,Loamy,Delta,Winter,Fava Beans
95.4,32.7,232.7,6.6,1.7,22.5,69.2,4.2,Sandy,Upper_Egypt,Nile,Tomato
102.5,39.3,209.8,6.5,2.0,22.7,73.7,3.4,Sandy,Delta,Nile,Tomato
61.6,43.0,223.8,7.1,1.416,24.3,61.7,1.8,Clay,North_Coast,Nile,Tomato
94.5,30.8,125.3,6.8,1.138,15.7,56.8,35.3,Clay,Delta,Winter,Wheat
94.7,45.5,212.5,6.4,2.3,16.7,61.7,8.3,Sandy,NewLands,Winter,Potato
23.9,36.8,117.9,7.04,1.07,15.1,71.6,18.6,Clay,North_Coast,Winter,Fava Beans
98.6,39.9,206.9,6.3,1.4,27.5,42.7,2.1,Sandy,NewLands,Summer,Sugarcane
89.2,28.6,201.8,6.57,1.531,31.9,56.7,4.8,Loamy,Delta,Summer,Maize
98.6,32.3,160.1,5.98,1.981,22.8,71.4,2.2,Clay,Upper_Egypt,Summer,Maize
99.4,47.4,192.6,6.37,1.483,31.3,57.1,6.3,Sandy,NewLands,Summer,Maize
79.2,34.0,230.9,6.1,1.6,27.8,59.8,3.5,Loamy,Delta,Summer,Maize
65.7,45.9,255.1,5.89,1.652,20.6,58.2,10.0,Sandy,Sinai,Nile,Potato
61.2,50.0,241.0,6.77,1.9,25.0,65.6,15.9,Loamy,Delta,Winter,Potato
80.3,43.9,185.5,7.1,2.7,27.2,51.3,4.5,Loamy,North_Coast,Winter,Tomato
88.1,33.2,166.5,6.89,2.294,27.3,72.4,0.5,Sandy,North_Coast,Summer,Maize
66.1,28.5,203.7,7.51,2.142,20.3,46.7,56.4,Clay,Upper_Egypt,Winter,Wheat
42.0,41.2,160.0,6.85,0.791,30.9,24.1,6.8,Clay,Delta,Summer,Cotton
72.4,47.6,236.9,5.6,1.8,19.2,52.9,18.9,Sandy,North_Coast,Winter,Potato
105.1,28.1,244.0,6.47,2.612,25.5,28.7,1.6,Clay,Upper_Egypt,Summer,Sugarcane
75.1,37.9,165.6,6.4,2.8,21.1,56.6,1.8,Sandy,Delta,Winter,Potato
67.3,51.5,156.8,6.81,1.88,27.8,50.2,7.3,Loamy,Delta,Nile,Tomato
49.2,28.1,169.1,6.04,1.958,30.2,34.1,4.5,Clay,Delta,Summer,Cotton
52.7,23.8,127.3,7.75,2.077,18.7,74.6,15.7,Clay,North_Coast,Nile,Fava Beans
26.4,35.5,132.0,7.36,1.04,12.8,70.2,10.4,Calcareous,North_Coast,Winter,Fava Beans
75.9,28.9,177.2,7.9,0.9,40.7,39.3,2.8,Clay,Upper_Egypt,Summer,Cotton
75.8,34.8,181.9,7.1,1.8,24.2,52.7,2.1,Sandy,Delta,Nile,Tomato
86.7,39.9,156.6,6.5,2.1,26.2,69.5,1.5,Calcareous,Delta,Summer,Maize
94.5,23.3,163.4,7.83,0.96,11.9,46.9,14.8,Clay,NewLands,Winter,Wheat
28.8,49.0,131.0,7.5,0.958,11.9,65.7,45.0,Loamy,Upper_Egypt,Winter,Fava Beans
50.2,37.3,172.3,7.04,0.535,36.8,32.5,6.0,Clay,Delta,Summer,Cotton
110.9,43.2,209.7,6.58,1.951,36.4,28.5,1.3,Clay,NewLands,Summer,Sugarcane
104.0,48.7,241.4,6.7,2.4,28.9,72.6,8.7,Loamy,North_Coast,Summer,Rice
60.7,29.9,212.7,5.72,3.071,20.3,73.6,12.4,Clay,Sinai,Winter,Potato
34.2,38.0,127.6,7.8,1.4,17.5,67.6,37.6,Clay,Upper_Egypt,Winter,Fava Beans
108.3,33.3,160.4,7.2,2.294,25.4,41.9,0.1,Clay,NewLands,Nile,Sugarcane
93.9,47.5,224.1,7.1,3.0,30.6,61.7,9.6,Loamy,Delta,Nile,Rice
85.8,42.7,179.7,6.7,2.8,22.9,46.2,6.2,Sandy,Sinai,Nile,Tomato
71.6,54.2,150.0,6.16,1.386,25.1,63.4,0.4,Loamy,Delta,Summer,Tomato
71.3,48.4,203.3,6.6,1.8,22.8,75.5,5.5,Loamy,Delta,Summer,Maize
81.1,37.4,179.9,6.88,2.457,10.7,63.3,19.7,Loamy,Upper_Egypt,Winter,Wheat
33.4,27.6,122.5,7.7,1.3,13.0,64.7,27.0,Sandy,Delta,Winter,Fava Beans
47.8,41.7,151.9,7.4,2.6,17.2,79.8,7.9,Loamy,Upper_Egypt,Winter,Fava Beans
48.8,30.0,171.6,6.2,0.9,40.1,20.3,4.2,Loamy,Delta,Summer,Cotton
88.7,47.9,190.3,6.1,1.6,27.1,46.4,3.1,Loamy,Delta,Winter,Tomato
36.0,18.0,144.7,7.4,2.1,14.9,79.2,36.6,Sandy,Delta,Winter,Fava Beans
72.6,48.8,147.8,6.64,0.842,16.6,58.1,40.2,Calcareous,Delta,Winter,Wheat
98.5,49.5,230.7,7.08,1.391,31.8,71.5,3.7,Calcareous,Delta,Winter,Tomato
26.0,21.0,166.7,6.62,2.787,8.9,86.7,14.7,Loamy,Sinai,Winter,Fava Beans
104.1,48.6,228.9,6.19,1.577,32.1,72.5,0.8,Clay,Delta,Summer,Rice
69.7,44.1,193.3,7.06,2.419,10.6,54.4,49.1,Clay,North_Coast,Nile,Wheat
98.4,35.6,126.7,7.74,2.02,15.3,56.2,53.5,Loamy,Delta,Winter,Wheat
71.2,46.7,175.5,6.95,1.603,22.1,69.7,7.8,Calcareous,NewLands,Summer,Maize
111.6,39.3,138.9,6.56,1.903,22.6,67.0,2.5,Sandy,NewLands,Summer,Maize
69.6,45.3,232.7,6.9,2.4,20.8,67.2,9.6,Loamy,North_Coast,Winter,Potato
98.7,29.7,219.4,6.09,1.644,34.7,53.7,4.4,Loamy,NewLands,Nile,Sugarcane
98.2,34.4,196.8,7.0,2.3,24.2,58.0,6.7,Calcareous,Upper_Egypt,Nile,Tomato
45.5,38.4,159.4,6.7,1.4,33.0,20.2,4.5,Sandy,Delta,Summer,Cotton
85.0,37.3,203.2,6.9,3.1,25.1,62.0,1.6,Clay,Delta,Nile,Tomato
89.0,36.7,173.6,6.3,1.7,34.4,60.5,2.4,Clay,North_Coast,Summer,Rice
83.7,45.4,170.7,6.9,0.921,22.2,52.8,4.0,Loamy,NewLands,Summer,Maize
95.9,42.1,191.5,7.28,2.385,29.4,61.0,1.5,Clay,North_Coast,Summer,Maize
89.8,48.6,222.1,6.9,1.5,34.1,46.5,2.8,Sandy,Upper_Egypt,Nile,Sugarcane
96.7,32.6,244.1,5.5,1.5,20.7,67.3,23.3,Loamy,Sinai,Winter,Potato
67.5,48.9,209.1,6.63,1.586,16.3,40.7,39.6,Clay,NewLands,Nile,Wheat
72.0,26.8,127.0,7.49,1.823,13.0,55.5,33.2,Loamy,Sinai,Winter,Wheat
84.9,31.4,154.3,7.1,1.8,24.2,58.0,1.5,Calcareous,Delta,Summer,Maize
117.0,47.6,198.7,6.67,0.863,20.7,57.3,3.4,Clay,Upper_Egypt,Summer,Maize
92.8,40.8,149.2,6.4,2.4,23.7,66.1,28.3,Calcareous,Sinai,Winter,Potato
104.9,46.1,211.9,6.98,2.556,35.4,27.7,1.5,Clay,Upper_Egypt,Nile,Sugarcane
29.4,25.9,154.6,7.82,1.194,17.0,81.0,5.3,Clay,Delta,Winter,Fava Beans
83.0,37.7,166.0,6.7,2.1,31.6,79.2,2.2,Loamy,North_Coast,Summer,Maize
37.8,35.4,128.5,7.62,1.759,18.9,63.4,45.7,Sandy,Upper_Egypt,Winter,Fava Beans
61.7,40.0,183.4,6.9,2.4,32.6,76.2,2.9,Sandy,Delta,Nile,Tomato
60.3,35.0,183.7,6.85,2.459,18.8,71.3,29.1,Clay,North_Coast,Winter,Potato
91.5,34.3,206.8,7.5,2.149,30.6,61.8,5.2,Sandy,Upper_Egypt,Summer,Maize
101.6,51.7,180.0,5.98,1.616,36.2,74.5,2.9,Clay,NewLands,Summer,Rice
113.3,37.2,226.2,6.9,2.1,25.5,66.9,3.2,Loamy,NewLands,Summer,Rice
87.9,40.5,164.1,6.76,2.771,18.5,77.6,19.0,Loamy,North_Coast,Summer,Potato
103.1,26.5,248.4,6.84,2.136,32.5,78.2,2.3,Loamy,Delta,Nile,Rice
25.2,30.8,128.0,6.78,2.509,14.4,85.0,29.3,Sandy,Upper_Egypt,Winter,Fava Beans
77.2,35.6,194.8,6.72,2.303,21.7,52.7,8.3,Clay,Sinai,Winter,Wheat
41.4,29.6,147.8,7.3,2.4,15.8,84.4,17.5,Loamy,Delta,Winter,Fava Beans
113.6,29.5,142.8,6.6,0.916,31.1,76.8,2.6,Clay,Delta,Summer,Maize
86.7,41.5,133.3,7.5,1.9,15.2,53.6,18.7,Loamy,Delta,Nile,Wheat
70.9,41.8,222.3,6.25,1.475,26.4,36.8,2.3,Loamy,Upper_Egypt,Nile,Sugarcane
88.2,52.3,211.2,6.8,2.4,30.5,35.0,2.4,Clay,Upper_Egypt,Nile,Sugarcane
102.6,46.5,182.9,6.97,1.75,21.4,68.5,24.1,Loamy,Sinai,Winter,Potato
85.6,37.6,210.0,7.34,2.87,22.5,67.4,6.2,Loamy,Upper_Egypt,Nile,Tomato
72.9,35.2,234.0,5.6,2.6,17.8,74.9,17.7,Loamy,Delta,Nile,Potato
74.4,33.0,166.3,7.4,1.3,34.5,28.9,4.4,Calcareous,Upper_Egypt,Summer,Cotton
91.0,41.7,206.6,5.95,2.457,17.2,54.8,29.2,Sandy,NewLands,Winter,Potato
60.0,38.1,184.1,6.4,1.3,30.4,43.2,3.9,Calcareous,Upper_Egypt,Summer,Cotton
67.0,18.3,194.6,7.48,0.595,42.5,25.7,6.7,Clay,Delta,Summer,Cotton
75.1,36.2,266.9,6.5,1.734,24.6,67.0,23.1,Loamy,Sinai,Nile,Potato
49.6,31.6,207.4,7.85,0.638,38.7,35.9,6.3,Clay,Upper_Egypt,Summer,Cotton
70.3,16.2,145.2,6.2,1.3,42.1,25.6,4.5,Clay,Upper_Egypt,Summer,Cotton
75.8,29.3,220.9,6.7,2.2,20.8,71.8,3.2,Loamy,Delta,Nile,Tomato
83.8,40.7,232.3,6.6,2.5,23.7,77.1,5.5,Loamy,Delta,Summer,Rice
39.8,41.7,180.5,6.21,2.62,19.3,73.5,63.8,Loamy,Upper_Egypt,Winter,Fava Beans
70.4,44.9,170.3,6.39,1.734,33.5,28.0,4.6,Clay,NewLands,Summer,Cotton
93.7,31.1,197.9,7.3,2.2,37.0,43.1,1.7,Loamy,NewLands,Summer,Sugarcane
84.1,23.7,158.8,7.87,0.85,19.2,49.0,52.7,Loamy,North_Coast,Winter,Wheat
95.7,46.9,187.5,6.7,2.8,34.5,50.3,1.3,Loamy,Upper_Egypt,Summer,Sugarcane
52.5,41.0,128.4,6.5,1.2,37.9,41.2,3.7,Sandy,Upper_Egypt,Summer,Cotton
77.5,38.5,184.8,5.7,1.8,24.4,66.7,14.5,Sandy,North_Coast,Nile,Potato
76.3,42.0,199.7,5.84,1.663,29.6,72.3,0.8,Loamy,Delta,Summer,Rice
69.4,35.0,151.3,7.83,2.418,15.3,42.0,26.2,Clay,Delta,Nile,Wheat
114.5,38.3,217.5,6.35,1.756,37.8,38.6,0.7,Loamy,NewLands,Summer,Sugarcane
56.4,28.8,196.5,7.7,1.1,38.8,38.2,5.2,Clay,Upper_Egypt,Summer,Cotton
75.6,42.4,228.2,5.9,2.0,18.2,58.9,13.8,Sandy,Delta,Winter,Potato
112.1,42.6,137.2,6.04,1.193,31.9,68.9,3.2,Clay,North_Coast,Summer,Maize
79.3,37.5,168.7,6.2,1.1,22.1,73.8,3.4,Sandy,Upper_Egypt,Summer,Maize
97.5,53.5,152.4,6.9,2.786,37.4,42.0,0.6,Clay,Upper_Egypt,Nile,Sugarcane
110.1,36.9,201.8,6.64,2.288,24.8,65.1,6.3,Clay,Upper_Egypt,Summer,Maize
108.4,51.9,189.3,6.7,0.9,41.9,34.7,3.5,Clay,Upper_Egypt,Nile,Sugarcane
95.2,27.9,242.1,7.12,2.807,29.7,70.2,3.4,Calcareous,North_Coast,Winter,Tomato
48.4,33.3,178.8,7.2,1.2,34.1,22.4,3.8,Sandy,Upper_Egypt,Summer,Cotton
91.7,40.5,190.4,6.9,1.4,30.3,40.5,4.0,Sandy,Upper_Egypt,Nile,Sugarcane
75.1,28.8,213.3,7.17,1.68,21.5,44.8,34.7,Clay,North_Coast,Winter,Wheat
77.9,29.0,150.4,6.77,2.281,25.7,38.5,4.0,Clay,Upper_Egypt,Nile,Sugarcane
92.9,37.6,183.1,6.01,1.521,29.1,67.3,3.8,Clay,NewLands,Summer,Maize
73.4,35.1,196.2,7.37,2.611,21.6,63.8,7.7,Clay,Delta,Winter,Wheat
94.1,43.0,146.3,5.8,1.43,28.4,64.8,2.4,Loamy,Upper_Egypt,Summer,Maize
79.1,39.7,153.5,6.69,1.93,41.0,30.7,5.8,Calcareous,NewLands,Summer,Cotton
74.7,50.7,249.2,6.43,2.342,34.4,27.1,0.1,Loamy,NewLands,Summer,Sugarcane
96.1,46.5,140.2,6.78,2.831,28.9,59.4,2.4,Sandy,North_Coast,Nile,Tomato
45.0,44.6,146.6,7.9,2.0,9.8,77.2,45.4,Clay,North_Coast,Winter,Fava Beans
52.8,39.2,134.7,6.9,1.8,9.3,87.4,27.6,Clay,Delta,Nile,Fava Beans
51.9,46.8,175.4,6.7,1.7,11.6,75.8,51.3,Sandy,Upper_Egypt,Winter,Fava Beans
87.4,30.4,154.4,6.28,1.108,26.3,26.0,0.7,Clay,Upper_Egypt,Summer,Sugarcane
95.8,33.9,192.4,6.7,2.2,30.1,48.1,1.9,Clay,Upper_Egypt,Summer,Sugarcane
76.7,28.2,170.2,5.83,2.345,21.8,55.9,3.5,Loamy,North_Coast,Summer,Maize
79.0,41.1,182.3,7.7,2.3,29.6,41.2,2.4,Loamy,Upper_Egypt,Summer,Sugarcane
72.5,29.1,204.7,7.84,2.441,20.6,50.2,52.0,Calcareous,North_Coast,Winter,Wheat
53.1,37.7,175.4,6.52,2.791,10.6,85.5,35.3,Sandy,North_Coast,Winter,Fava Beans
74.0,48.0,225.4,6.09,1.955,29.8,71.7,3.1,Loamy,NewLands,Summer,Maize
80.2,45.2,208.0,6.8,2.1,29.1,46.3,1.3,Loamy,Upper_Egypt,Nile,Sugarcane
88.4,46.2,230.8,7.6,1.8,20.8,54.0,2.8,Clay,North_Coast,Summer,Tomato
65.8,42.9,195.8,7.33,1.853,42.3,20.7,5.0,Sandy,Upper_Egypt,Nile,Cotton
79.4,36.4,201.5,6.91,2.32,15.3,51.7,16.5,Clay,Delta,Winter,Wheat
83.1,26.3,197.1,7.11,2.447,31.7,63.8,3.0,Sandy,Delta,Winter,Tomato
106.4,32.1,224.7,5.89,1.661,22.7,58.4,4.1,Clay,North_Coast,Summer,Maize
