crop,area_feddans,region,season,soil_type,yield_tonnes_per_feddan,production_tonnes
Tomato,85,Sinai,Winter,Clay,15.579,1324.2
Wheat,84,North_Coast,Winter,Clay,1.977,166.1
Potato,229,North_Coast,Winter,Sandy,14.39,3295.3
Tomato,196,Sinai,Nile,Loamy,15.881,3112.7
Maize,841,Delta,Summer,Sandy,3.713,3122.6
Cotton,71,Upper_Egypt,Summer,Clay,1.5572700000000002,110.6
Potato,269,Sinai,Nile,Sandy,9.763,2626.2
Fava Beans,70,North_Coast,Winter,Clay,5.263,368.4
Sugarcane,710,NewLands,Nile,Loamy,40.185,28531.4
Cotton,227,Delta,Summer,Loamy,1.397,317.1
Potato,159,Sinai,Winter,Sandy,12.95,2059.0
Cotton,216,Delta,Summer,Loamy,1.188,256.6
Potato,215,Sinai,Winter,Loamy,12.856,2764.0
Wheat,371,Upper_Egypt,Winter,Loamy,2.83,1049.9
Maize,682,Delta,Summer,Calcareous,3.369,2297.7
Sugarcane,137,Upper_Egypt,Nile,Clay,39.49,5410.1
Sugarcane,948,Upper_Egypt,Summer,Clay,39.543,37486.8
Wheat,392,Delta,Winter,Sandy,2.784,1091.3
Rice,227,Delta,Summer,Clay,4.103,931.4
Maize,22,Delta,Nile,Sandy,2.832,62.3
Sugarcane,749,Upper_Egypt,Summer,Clay,54.795,41041.5
Tomato,164,Sinai,Nile,Loamy,15.292,2507.9
Wheat,28,Upper_Egypt,Winter,Clay,1.174,32.9
Maize,127,Delta,Summer,Loamy,3.115,395.6
Maize,623,North_Coast,Summer,Sandy,2.517,1568.1
Cotton,50,Delta,Nile,Sandy,1.084,54.2
Maize,957,Delta,Summer,Loamy,2.359,2257.6
Tomato,42,North_Coast,Nile,Clay,14.211,596.9
Cotton,226,Delta,Summer,Calcareous,0.932,210.6
Fava Beans,16,Upper_Egypt,Winter,Clay,4.935,79.0
Tomato,74,Sinai,Nile,Loamy,20.94,1549.6
Tomato,87,Sinai,Nile,Sandy,18.651,1622.6
Cotton,34,Upper_Egypt,Summer,Loamy,0.889,30.2
Sugarcane,699,Upper_Egypt,Summer,Sandy,38.476,26894.7
Maize,561,Upper_Egypt,Summer,Sandy,1.892,1061.4
Sugarcane,327,Upper_Egypt,Summer,Clay,51.018,16682.9
Maize,417,NewLands,Nile,Clay,2.83,1180.1
Potato,261,NewLands,Nile,Sandy,11.118,2901.8
Wheat,269,Sinai,Winter,Sandy,1.96,527.2
Maize,320,Delta,Summer,Loamy,2.979,953.3
Potato,238,Sinai,Nile,Calcareous,9.24,2199.1
Potato,15,Delta,Winter,Sandy,15.497,232.5
Rice,692,Delta,Summer,Loamy,4.008,2773.5
Wheat,445,NewLands,Winter,Clay,2.191,975.0
Wheat,30,North_Coast,Winter,Loamy,2.919,87.6
Fava Beans,37,Upper_Egypt,Winter,Clay,5.71,211.3
Cotton,252,Upper_Egypt,Summer,Clay,0.963,242.7
Potato,267,North_Coast,Winter,Loamy,10.543,2815.0
Maize,336,Upper_Egypt,Summer,Clay,2.515,845.0
Wheat,327,North_Coast,Winter,Sandy,2.509,820.4
Maize,661,NewLands,Summer,Loamy,2.371,1567.2
Maize,838,North_Coast,Summer,Loamy,3.777,3165.1
Potato,189,NewLands,Nile,Loamy,11.81,2232.1
Potato,159,North_Coast,Winter,Loamy,14.719,2340.3
Maize,113,NewLands,Summer,Loamy,2.943,332.6
Fava Beans,123,Sinai,Nile,Calcareous,3.638,447.5
Potato,103,North_Coast,Nile,Sandy,12.542,1291.8
Tomato,161,Sinai,Nile,Sandy,9.202,1481.5
Wheat,144,North_Coast,Winter,Clay,2.156,310.5
Cotton,299,Upper_Egypt,Summer,Sandy,0.951,284.3
Wheat,142,Sinai,Winter,Sandy,1.156,164.2
Sugarcane,840,Upper_Egypt,Summer,Clay,58.655,49270.2
Tomato,22,Delta,Nile,Clay,18.221,400.9
Fava Beans,87,Delta,Winter,Loamy,5.973,519.7
Sugarcane,884,NewLands,Nile,Loamy,35.115,31041.7
Fava Beans,92,Delta,Nile,Calcareous,4.011,369.0
Fava Beans,128,Delta,Winter,Loamy,6.128,784.4
Maize,966,Delta,Summer,Loamy,3.765,3637.0
Tomato,167,Sinai,Nile,Loamy,21.659,3617.1
Maize,940,Upper_Egypt,Summer,Clay,2.956,2778.6
Wheat,412,Delta,Winter,Loamy,3.347,1379.0
Rice,362,NewLands,Summer,Clay,3.351,1213.1
Fava Beans,181,Upper_Egypt,Winter,Loamy,4.382,793.1
Wheat,293,Upper_Egypt,Winter,Calcareous,1.577,462.1
Potato,90,North_Coast,Nile,Sandy,9.622,866.0
Potato,271,Delta,Winter,Calcareous,8.716,2362.0
Rice,43,Delta,Nile,Clay,3.132,134.7
Tomato,127,North_Coast,Nile,Sandy,10.702,1359.2
Rice,320,Delta,Summer,Clay,4.362,1395.8
Fava Beans,13,Upper_Egypt,Winter,Loamy,4.243,55.2
Wheat,174,NewLands,Winter,Clay,3.073,534.7
Rice,763,Delta,Summer,Loamy,3.391,2587.3
Tomato,109,Delta,Nile,Clay,11.513,1254.9
Maize,163,Delta,Summer,Clay,3.053,497.6
Rice,484,North_Coast,Summer,Clay,4.199,2032.3
Potato,75,North_Coast,Winter,Sandy,15.809,1185.7
Maize,349,Delta,Summer,Sandy,3.8676,1349.8
Tomato,192,Sinai,Nile,Sandy,21.80057,4185.7
Potato,80,North_Coast,Winter,Loamy,13.609,1088.7
Wheat,164,North_Coast,Winter,Sandy,1.396,228.9
Wheat,99,Delta,Winter,Sandy,1.687,167.0
Sugarcane,212,Upper_Egypt,Summer,Loamy,58.798,12465.2
Wheat,125,Delta,Winter,Clay,1.412,176.5
Tomato,21,Upper_Egypt,Summer,Clay,13.44,282.2
Cotton,16,Delta,Summer,Clay,1.074,17.2
Wheat,400,Upper_Egypt,Winter,Clay,2.439,975.6
Maize,139,Upper_Egypt,Summer,Clay,2.156,299.7
Rice,169,Delta,Summer,Clay,4.381,740.4
Wheat,441,Delta,Nile,Loamy,1.652,728.5
Sugarcane,677,Upper_Egypt,Nile,Loamy,59.88,40538.8
Rice,736,Delta,Summer,Clay,3.885,2859.4
Rice,124,Delta,Summer,Loamy,4.467,553.9
Tomato,40,Upper_Egypt,Nile,Clay,15.139,605.6
Cotton,10,Delta,Summer,Clay,1.114,11.1
Tomato,80,North_Coast,Nile,Sandy,8.474,677.9
Potato,186,Delta,Winter,Sandy,8.779,1632.9
Maize,757,Delta,Nile,Loamy,1.503,1137.8
Maize,662,NewLands,Summer,Loamy,3.336,2208.4
Potato,102,Delta,Nile,Sandy,10.534,1074.5
Maize,868,Delta,Summer,Clay,2.758,2393.9
Cotton,70,Delta,Summer,Clay,1.132,79.2
Sugarcane,492,Upper_Egypt,Summer,Clay,47.138,23191.9
Potato,263,Delta,Winter,Sandy,10.878,2860.9
Tomato,56,Upper_Egypt,Summer,Clay,13.561,759.4
Wheat,311,Upper_Egypt,Winter,Sandy,1.869,581.3
Potato,251,NewLands,Winter,Sandy,12.132,3045.1
Potato,101,Delta,Winter,Sandy,11.011,1112.1
Cotton,4,Delta,Summer,Calcareous,0.914,3.7
Tomato,188,Upper_Egypt,Nile,Sandy,13.672,2570.3
Tomato,76,North_Coast,Winter,Sandy,9.137,694.4
Rice,775,Delta,Summer,Clay,3.367,2609.4
Tomato,160,Upper_Egypt,Nile,Sandy,14.763,2362.1
Rice,701,NewLands,Summer,Loamy,2.774,1944.6
Tomato,147,Sinai,Winter,Loamy,21.80057,3204.7
Rice,47,Delta,Summer,Clay,5.120720000000001,240.7
Sugarcane,638,Upper_Egypt,Summer,Loamy,51.79,33042.0
Potato,112,Delta,Winter,Loamy,13.483,1510.1
Tomato,111,Delta,Winter,Loamy,18.718,2077.7
Maize,378,Delta,Nile,Clay,2.148,811.9
Rice,88,NewLands,Summer,Clay,3.875,341.0
Maize,184,Delta,Summer,Clay,3.505,644.9
Fava Beans,190,Delta,Winter,Clay,3.464,658.2
Rice,695,North_Coast,Summer,Loamy,3.263,2267.8
Sugarcane,151,Upper_Egypt,Nile,Loamy,48.033,7253.0
Cotton,92,NewLands,Summer,Sandy,0.959,88.2
Sugarcane,276,Upper_Egypt,Nile,Clay,55.756,15388.7
Cotton,121,Delta,Summer,Sandy,1.26,152.5
Maize,911,Delta,Summer,Loamy,3.131,2852.3
Rice,670,North_Coast,Nile,Loamy,3.269,2190.2
Potato,188,NewLands,Winter,Clay,10.271,1930.9
Potato,17,NewLands,Winter,Loamy,10.361,176.1
Sugarcane,756,Upper_Egypt,Summer,Loamy,60.685,45877.9
Tomato,83,North_Coast,Nile,Clay,14.582,1210.3
Rice,504,Delta,Summer,Clay,3.901,1966.1
Wheat,18,Upper_Egypt,Winter,Clay,2.362,42.5
Potato,290,NewLands,Nile,Sandy,13.188,3824.5
Cotton,82,Upper_Egypt,Summer,Sandy,1.151,94.4
Cotton,240,Delta,Nile,Calcareous,1.13,271.2
Rice,524,NewLands,Summer,Loamy,3.826,2004.8
Fava Beans,150,Sinai,Winter,Clay,5.467,820.0
Tomato,196,Upper_Egypt,Summer,Loamy,9.718,1904.7
Tomato,169,North_Coast,Winter,Sandy,14.574,2463.0
Potato,286,Delta,Nile,Loamy,8.233,2354.6
Wheat,5,Delta,Winter,Clay,1.959,9.8
Sugarcane,726,Upper_Egypt,Nile,Sandy,36.423,26443.1
Maize,560,NewLands,Summer,Calcareous,2.115,1184.4
Sugarcane,912,Upper_Egypt,Nile,Loamy,48.718,44430.8
Sugarcane,805,NewLands,Summer,Clay,47.058,37881.7
Fava Beans,77,North_Coast,Winter,Clay,3.605,277.6
Wheat,345,Delta,Winter,Loamy,3.228,1113.7
Wheat,48,Delta,Nile,Loamy,2.273,109.1
Cotton,69,NewLands,Summer,Clay,0.984,67.9
Tomato,157,Upper_Egypt,Winter,Sandy,9.226,1448.5
Rice,443,Delta,Nile,Loamy,3.451,1528.8
Fava Beans,43,Sinai,Winter,Loamy,1.937,83.3
Tomato,139,Sinai,Winter,Loamy,20.944,2911.2
Fava Beans,23,Sinai,Winter,Calcareous,2.806,64.5
Sugarcane,74,Upper_Egypt,Nile,Clay,53.843,3984.4
Sugarcane,49,Upper_Egypt,Summer,Loamy,45.538,2231.4
Rice,294,Delta,Summer,Clay,4.939,1452.1
Tomato,112,Upper_Egypt,Winter,Clay,10.854,1215.6
Maize,870,NewLands,Summer,Sandy,2.306,2006.2
Cotton,42,Upper_Egypt,Summer,Loamy,1.279,53.7
Maize,574,Delta,Summer,Clay,2.531,1452.8
Cotton,226,Upper_Egypt,Summer,Calcareous,1.086,245.4
Potato,23,NewLands,Nile,Loamy,12.009,276.2
Wheat,494,Upper_Egypt,Nile,Sandy,1.408,695.6
Fava Beans,148,North_Coast,Winter,Calcareous,3.311,490.0
Rice,596,NewLands,Summer,Loamy,3.599,2145.0
Tomato,51,Upper_Egypt,Nile,Loamy,9.066,462.4
Rice,189,Delta,Nile,Loamy,4.252,803.6
Sugarcane,899,Upper_Egypt,Summer,Clay,48.789,43861.3
Wheat,238,Delta,Nile,Sandy,2.317,551.4
Rice,605,Delta,Summer,Clay,4.662,2820.5
Sugarcane,724,Upper_Egypt,Nile,Clay,54.296,39310.3
Fava Beans,185,Delta,Winter,Clay,4.534,838.8
Maize,740,Delta,Summer,Clay,3.73,2760.2
Rice,646,North_Coast,Summer,Clay,3.117,2013.6
Sugarcane,151,Upper_Egypt,Nile,Loamy,55.999,8455.8
Wheat,386,Sinai,Winter,Sandy,1.685,650.4
Rice,129,Delta,Nile,Clay,3.33,429.6
Wheat,373,Upper_Egypt,Winter,Sandy,1.991,742.6
Wheat,17,North_Coast,Winter,Clay,3.438,58.4
Tomato,59,Sinai,Summer,Sandy,13.219,779.9
Wheat,408,Delta,Winter,Calcareous,2.452,1000.4
Potato,281,North_Coast,Nile,Sandy,12.259,3444.8
Tomato,158,North_Coast,Winter,Sandy,6.187,977.5
Maize,529,NewLands,Summer,Loamy,2.069,1094.5
Rice,515,NewLands,Summer,Loamy,3.373,1737.1
Wheat,197,NewLands,Winter,Clay,2.02,397.9
Fava Beans,53,Delta,Winter,Sandy,4.36,231.1
Cotton,242,Delta,Summer,Loamy,1.352,327.2
Wheat,163,North_Coast,Winter,Sandy,2.329,379.6
Potato,298,Delta,Summer,Clay,10.86,3236.3
Sugarcane,535,NewLands,Summer,Clay,46.643,24954.0
Sugarcane,476,Upper_Egypt,Summer,Clay,49.849,23728.1
Maize,627,Upper_Egypt,Summer,Loamy,3.517,2205.2
Tomato,138,Upper_Egypt,Nile,Sandy,17.942,2476.0
Maize,960,Upper_Egypt,Summer,Sandy,1.992,1912.3
Maize,892,Upper_Egypt,Summer,Clay,3.002,2677.8
Tomato,157,Delta,Nile,Loamy,15.183,2383.7
Rice,626,NewLands,Summer,Clay,2.722,1704.0
Fava Beans,176,Delta,Winter,Sandy,4.317,759.8
Tomato,142,Sinai,Summer,Loamy,14.035,1993.0
Fava Beans,192,Sinai,Winter,Calcareous,3.8,729.6
Sugarcane,379,Upper_Egypt,Summer,Loamy,51.388,19476.1
Fava Beans,161,Upper_Egypt,Winter,Clay,3.522,567.0
Sugarcane,271,NewLands,Nile,Clay,53.755,14567.6
Potato,64,Delta,Nile,Sandy,12.387,792.8
Maize,92,Delta,Summer,Loamy,4.039,371.6
Maize,266,Upper_Egypt,Summer,Sandy,1.181,314.1
Wheat,286,Sinai,Winter,Sandy,2.042,584.0
Maize,331,Delta,Summer,Clay,3.304,1093.6
Wheat,207,Delta,Winter,Loamy,2.066,427.7
Sugarcane,514,Upper_Egypt,Nile,Clay,54.032,27772.4
Maize,641,North_Coast,Summer,Sandy,2.175,1394.2
Fava Beans,4,North_Coast,Winter,Sandy,4.973,19.9
Wheat,112,Delta,Winter,Loamy,2.899,324.7
Fava Beans,124,Upper_Egypt,Winter,Clay,4.747,588.6
Sugarcane,734,NewLands,Summer,Sandy,39.656,29107.5
Maize,912,Delta,Summer,Clay,4.096,3735.6
Sugarcane,755,Upper_Egypt,Summer,Loamy,50.432,38076.2
Rice,328,Delta,Summer,Loamy,3.543,1162.1
Sugarcane,212,Upper_Egypt,Nile,Clay,50.035,10607.4
Fava Beans,116,Delta,Winter,Clay,5.673,658.1
Tomato,88,Sinai,Nile,Sandy,17.679,1555.8
Wheat,442,Delta,Winter,Loamy,2.695,1191.2
Tomato,4,Upper_Egypt,Nile,Sandy,17.006,68.0
Potato,207,NewLands,Summer,Sandy,8.486,1756.6
Wheat,342,Sinai,Winter,Sandy,1.476,504.8
Sugarcane,144,Upper_Egypt,Summer,Sandy,44.066,6345.5
Wheat,70,Upper_Egypt,Winter,Clay,1.931,135.2
Rice,510,Delta,Summer,Loamy,3.232,1648.3
Rice,540,Delta,Summer,Loamy,3.632,1961.3
Tomato,101,Sinai,Nile,Sandy,10.897,1100.6
Maize,520,North_Coast,Summer,Clay,2.262,1176.2
Wheat,137,Sinai,Winter,Loamy,1.497,205.1
Cotton,98,Delta,Summer,Sandy,1.158,113.5
Tomato,124,Upper_Egypt,Nile,Loamy,20.817,2581.3
Maize,166,Delta,Summer,Loamy,3.573,593.1
Fava Beans,77,Upper_Egypt,Winter,Clay,6.018,463.4
Wheat,317,Delta,Winter,Clay,2.978,944.0
Potato,44,Delta,Nile,Sandy,8.961,394.3
Wheat,344,Delta,Winter,Sandy,1.889,649.8
Tomato,141,Sinai,Nile,Clay,15.113,2130.9
Sugarcane,734,NewLands,Summer,Clay,48.819,35833.1
Maize,637,Delta,Summer,Loamy,2.891,1841.6
Tomato,66,Sinai,Winter,Sandy,18.652,1231.0
Rice,533,Delta,Summer,Clay,4.443,2368.1
Maize,570,Delta,Summer,Loamy,3.8676,2204.5
Wheat,18,NewLands,Winter,Clay,1.739,31.3
Fava Beans,34,Upper_Egypt,Winter,Loamy,5.979,203.3
Wheat,220,North_Coast,Winter,Loamy,1.935,425.7
Wheat,72,NewLands,Winter,Sandy,1.832,131.9
Sugarcane,45,NewLands,Nile,Loamy,37.242,1675.9
Cotton,231,NewLands,Summer,Clay,0.865,199.8
Maize,207,NewLands,Summer,Sandy,2.217,458.9
Rice,119,North_Coast,Nile,Clay,2.9,345.1
Fava Beans,138,Delta,Winter,Clay,3.465,478.2
Maize,211,Upper_Egypt,Summer,Sandy,2.271,479.2
Potato,142,Delta,Summer,Loamy,11.919,1692.5
Rice,202,Delta,Summer,Clay,4.287,866.0
Potato,146,NewLands,Winter,Clay,8.199,1197.1
Potato,138,Delta,Nile,Clay,9.191,1268.4
Cotton,17,Upper_Egypt,Summer,Sandy,0.801,13.6
Maize,561,Delta,Summer,Loamy,3.501,1964.1
Tomato,3,North_Coast,Winter,Clay,16.176,48.5
Cotton,250,Upper_Egypt,Summer,Loamy,1.286,321.5
Tomato,64,Delta,Nile,Clay,14.251,912.1
Fava Beans,1,North_Coast,Winter,Sandy,4.315,4.3
Maize,5,Upper_Egypt,Summer,Sandy,2.759,13.8
Cotton,148,NewLands,Nile,Clay,0.924,136.8
Rice,356,Delta,Summer,Loamy,5.120720000000001,1823.0
Tomato,169,Upper_Egypt,Nile,Sandy,18.568,3138.0
Maize,222,Upper_Egypt,Nile,Sandy,2.443,542.3
Wheat,269,North_Coast,Winter,Sandy,1.713,460.8
Potato,121,Sinai,Winter,Loamy,12.022,1454.7
Tomato,103,Sinai,Nile,Sandy,15.022,1547.3
Wheat,92,Sinai,Winter,Loamy,1.883,173.2
Wheat,291,Delta,Winter,Clay,2.317,674.2
Rice,228,NewLands,Summer,Loamy,3.76,857.3
Wheat,372,Upper_Egypt,Winter,Loamy,2.08,773.8
Tomato,181,Sinai,Nile,Clay,13.587,2459.2
Potato,179,North_Coast,Nile,Clay,8.67,1551.9
Sugarcane,989,Upper_Egypt,Nile,Sandy,41.842,41381.7
Rice,299,North_Coast,Nile,Loamy,2.567,767.5
Sugarcane,671,Upper_Egypt,Summer,Clay,56.451,37878.6
Potato,76,Delta,Winter,Sandy,12.737,968.0
Tomato,159,Sinai,Nile,Calcareous,10.695,1700.5
Cotton,63,Upper_Egypt,Summer,Loamy,1.074,67.7
Sugarcane,936,Upper_Egypt,Nile,Loamy,51.513,48216.2
Tomato,125,Sinai,Nile,Sandy,19.339,2417.4
Wheat,445,Upper_Egypt,Winter,Sandy,1.525,678.6
Sugarcane,229,Upper_Egypt,Summer,Loamy,45.215,10354.2
Rice,119,Delta,Summer,Loamy,3.182,378.7
Tomato,170,Upper_Egypt,Nile,Loamy,11.033,1875.6
Sugarcane,556,NewLands,Summer,Clay,44.911,24970.5
Fava Beans,180,Delta,Nile,Loamy,4.094,736.9
Sugarcane,171,NewLands,Summer,Loamy,52.121,8912.7
Wheat,303,North_Coast,Winter,Clay,2.384,722.4
Tomato,48,North_Coast,Nile,Sandy,11.644,558.9
Wheat,28,North_Coast,Winter,Clay,2.172,60.8
Potato,283,Sinai,Winter,Loamy,12.01,3398.8
Sugarcane,86,Upper_Egypt,Summer,Clay,46.791,4024.0
Potato,13,Delta,Winter,Loamy,13.801,179.4
Tomato,39,Delta,Winter,Sandy,20.624,804.3
Sugarcane,152,Upper_Egypt,Summer,Loamy,50.021,7603.2
Tomato,198,Upper_Egypt,Nile,Sandy,10.024,1984.8
Sugarcane,514,Upper_Egypt,Summer,Loamy,52.478,26973.7
Maize,830,North_Coast,Summer,Loamy,3.448,2861.8
Sugarcane,60,Upper_Egypt,Nile,Loamy,56.546,3392.8
Maize,793,Upper_Egypt,Summer,Sandy,2.765,2192.6
Rice,578,Delta,Nile,Loamy,4.476,2587.1
Cotton,141,Upper_Egypt,Nile,Loamy,1.299,183.2
Rice,729,Delta,Summer,Loamy,4.472,3260.1
Tomato,178,Sinai,Nile,Sandy,15.708,2796.0
Tomato,21,North_Coast,Nile,Clay,21.80057,457.8
Fava Beans,9,North_Coast,Winter,Clay,5.162,46.5
Fava Beans,41,Upper_Egypt,Winter,Sandy,3.093,126.8
Wheat,120,Delta,Winter,Clay,2.236,268.3
Tomato,55,Delta,Summer,Loamy,17.122,941.7
Rice,203,Delta,Summer,Loamy,2.95,598.8
Wheat,450,Upper_Egypt,Winter,Sandy,1.064,478.8
Maize,876,Upper_Egypt,Summer,Loamy,3.334,2920.6
Potato,39,Sinai,Winter,Loamy,12.508,487.8
Potato,44,Sinai,Nile,Sandy,9.214,405.4
Wheat,424,Delta,Winter,Clay,2.833,1201.2
Sugarcane,20,NewLands,Nile,Clay,50.568,1011.4
Maize,762,NewLands,Summer,Sandy,2.732,2081.8
Potato,141,NewLands,Summer,Sandy,9.109,1284.4
Cotton,27,NewLands,Summer,Loamy,1.172,31.6
Fava Beans,66,Delta,Winter,Calcareous,4.377,288.9
Maize,122,Delta,Summer,Sandy,2.25,274.5
Tomato,195,Upper_Egypt,Summer,Loamy,11.27,2197.6
Wheat,246,Delta,Winter,Loamy,2.013,495.2
Tomato,135,North_Coast,Nile,Clay,13.348,1802.0
Cotton,49,Upper_Egypt,Summer,Sandy,1.004,49.2
Rice,158,Delta,Summer,Clay,5.120720000000001,809.1
Potato,274,NewLands,Nile,Sandy,11.483,3146.3
Sugarcane,577,Upper_Egypt,Summer,Clay,54.578,31491.5
Fava Beans,5,North_Coast,Winter,Clay,3.773,18.9
Tomato,134,Delta,Nile,Loamy,19.95,2673.3
Rice,646,North_Coast,Summer,Clay,4.457,2879.2
Wheat,302,Delta,Winter,Loamy,2.405,726.3
Tomato,146,North_Coast,Summer,Sandy,12.352,1803.4
Maize,653,Upper_Egypt,Summer,Sandy,1.557,1016.7
Maize,553,Delta,Summer,Sandy,1.826,1009.8
Cotton,150,NewLands,Summer,Clay,1.187,178.0
Potato,192,NewLands,Nile,Sandy,8.555,1642.6
Wheat,318,Delta,Winter,Clay,1.572,499.9
Maize,871,Delta,Summer,Clay,2.493,2171.4
Tomato,3,Upper_Egypt,Nile,Sandy,12.258,36.8
Tomato,124,Sinai,Nile,Calcareous,14.982,1857.8
Potato,205,North_Coast,Winter,Clay,11.427,2342.5
Wheat,433,Delta,Winter,Loamy,2.586,1119.7
Cotton,295,Upper_Egypt,Nile,Calcareous,1.183,349.0
Fava Beans,15,Upper_Egypt,Winter,Sandy,3.267,49.0
Maize,983,NewLands,Summer,Clay,2.531,2488.0
Tomato,46,Delta,Nile,Loamy,19.8187,911.7
Rice,378,Delta,Summer,Loamy,3.693,1396.0
Potato,198,NewLands,Summer,Loamy,10.859,2150.1
Rice,111,Delta,Summer,Clay,4.685,520.0
Cotton,153,Delta,Summer,Clay,1.046,160.0
Wheat,46,North_Coast,Winter,Clay,1.934,89.0
Wheat,399,North_Coast,Winter,Clay,2.506,999.9
Tomato,15,Sinai,Winter,Calcareous,11.349,170.2
Fava Beans,152,Sinai,Winter,Sandy,5.644,857.9
Sugarcane,308,Upper_Egypt,Nile,Sandy,43.0,13244.0
Wheat,425,North_Coast,Winter,Clay,2.459,1045.1
Rice,652,Delta,Summer,Clay,3.566,2325.0
Tomato,7,Delta,Winter,Sandy,9.94,69.6
Rice,563,Delta,Summer,Loamy,4.172,2348.8
Tomato,104,Sinai,Nile,Clay,15.506,1612.6
Wheat,497,Delta,Winter,Loamy,2.029,1008.4
Fava Beans,164,Sinai,Winter,Sandy,3.071,503.6
Potato,229,Sinai,Nile,Sandy,11.095,2540.8
Maize,423,Upper_Egypt,Summer,Sandy,2.81,1188.6
Tomato,6,North_Coast,Nile,Loamy,13.956,83.7
Tomato,95,Delta,Nile,Clay,16.009,1520.9
Wheat,435,Delta,Winter,Sandy,2.219,965.3
Rice,72,North_Coast,Summer,Loamy,4.126,297.1
Tomato,115,Delta,Nile,Calcareous,10.86,1248.9
Tomato,159,Sinai,Nile,Sandy,18.225,2897.8
Rice,514,Delta,Summer,Clay,4.7,2415.8
Potato,52,Delta,Summer,Loamy,12.232,636.1
Tomato,115,North_Coast,Summer,Sandy,11.878,1366.0
Cotton,84,NewLands,Summer,Sandy,1.055,88.6
Tomato,193,Delta,Nile,Sandy,6.484,1251.4
Fava Beans,59,Sinai,Winter,Calcareous,4.445,262.3
Maize,937,NewLands,Summer,Clay,2.92,2736.0
Tomato,95,Delta,Winter,Calcareous,12.854,1221.1
Sugarcane,205,Upper_Egypt,Nile,Sandy,31.953,6550.4
Tomato,189,Delta,Summer,Clay,11.955,2259.5
Sugarcane,640,Upper_Egypt,Nile,Loamy,51.273,32814.7
Fava Beans,120,Sinai,Winter,Clay,5.315,637.8
Maize,1,NewLands,Summer,Calcareous,2.711,2.7
Maize,880,Delta,Summer,Sandy,2.918,2567.8
Tomato,189,Upper_Egypt,Nile,Loamy,10.117,1912.1
Wheat,374,North_Coast,Winter,Loamy,2.841,1062.5
Sugarcane,203,NewLands,Nile,Sandy,35.584,7223.6
Maize,839,North_Coast,Summer,Clay,3.147,2640.3
Fava Beans,27,Delta,Winter,Clay,6.771,182.8
Sugarcane,161,Upper_Egypt,Summer,Loamy,44.694,7195.7
Rice,368,Delta,Summer,Clay,4.189,1541.6
Tomato,129,Upper_Egypt,Nile,Loamy,14.477,1867.5
Cotton,124,Delta,Summer,Sandy,1.099,136.3
Tomato,151,Sinai,Nile,Clay,18.918,2856.6
Tomato,14,Delta,Nile,Sandy,9.942,139.2
Maize,149,Upper_Egypt,Summer,Sandy,3.393,505.6
Tomato,22,Sinai,Winter,Loamy,16.551,364.1
Maize,933,North_Coast,Summer,Clay,2.42,2257.9
Cotton,27,Upper_Egypt,Summer,Sandy,1.11,30.0
Maize,217,Delta,Summer,Loamy,3.284,712.6
Tomato,31,Upper_Egypt,Nile,Loamy,15.444,478.8
Cotton,57,Delta,Summer,Clay,1.5572700000000002,88.8
Fava Beans,70,North_Coast,Nile,Loamy,4.41,308.7
Wheat,229,North_Coast,Nile,Loamy,1.634,374.2
Wheat,299,NewLands,Winter,Clay,1.015,303.5
Potato,212,Delta,Winter,Clay,7.298,1547.2
Sugarcane,642,NewLands,Summer,Sandy,31.461,20198.0
Cotton,138,Upper_Egypt,Summer,Sandy,0.846,116.7
Cotton,196,Delta,Nile,Sandy,0.832,163.1
Tomato,61,Sinai,Nile,Clay,14.178,864.9
Wheat,339,Upper_Egypt,Winter,Loamy,1.68,569.5
Maize,413,NewLands,Summer,Sandy,2.327,961.1
Maize,879,North_Coast,Summer,Loamy,2.474,2174.6
Potato,228,Delta,Winter,Sandy,13.858,3159.6
Fava Beans,51,Sinai,Nile,Sandy,3.034,154.7
Maize,600,North_Coast,Summer,Clay,2.875,1725.0
Rice,758,Delta,Summer,Loamy,4.672,3541.4
Maize,774,Upper_Egypt,Summer,Clay,3.344,2588.3
Cotton,137,Upper_Egypt,Summer,Loamy,1.278,175.1
Rice,683,Delta,Summer,Loamy,3.355,2291.5
Maize,507,North_Coast,Summer,Loamy,2.626,1331.4
Potato,197,NewLands,Summer,Clay,9.001,1773.2
Sugarcane,938,Upper_Egypt,Summer,Loamy,49.895,46801.5
Fava Beans,154,Upper_Egypt,Nile,Clay,4.912,756.4
Rice,460,North_Coast,Summer,Clay,4.458,2050.7
Potato,238,Delta,Summer,Clay,7.023,1671.5
Potato,50,Delta,Winter,Loamy,9.565,478.2
Tomato,143,Upper_Egypt,Summer,Sandy,10.867,1554.0
Fava Beans,109,Upper_Egypt,Winter,Loamy,5.028,548.1
Sugarcane,914,Upper_Egypt,Summer,Clay,59.843,54696.5
Wheat,304,Upper_Egypt,Winter,Clay,2.125,646.0
Wheat,470,NewLands,Winter,Sandy,1.983,932.0
Cotton,75,Delta,Summer,Calcareous,1.255,94.1
Rice,31,Delta,Summer,Clay,5.120720000000001,158.7
Maize,918,Upper_Egypt,Summer,Clay,3.257,2989.9
Maize,527,Upper_Egypt,Summer,Clay,2.52,1328.0
Cotton,100,Delta,Summer,Loamy,1.244,124.4
Cotton,272,Upper_Egypt,Nile,Sandy,0.952,258.9
